Extraction Date,Extraction Hour,Publication Date,Publication Hour,Title,Author,Location,Num Comments,Photo Author,Photo Text,Sectiom,Subsection
10-04-2019,8,10-04-2019,5,Virtual empate entre Netanyahu y Gantz en las elecciones en Israel,Juan Carlos Sanz,Jerusalén,117,AP,Netanyahu saluda a sus seguidores tras conocer los sondeos.,NA,NA
10-04-2019,8,09-04-2019,23,El presidente de EE UU carga contra la cúpula de seguridad tras el fracaso de su política migratoria,Antonia Laborde,Washington,11,NA,NA,NA,NA
10-04-2019,8,10-04-2019,1,Los indígenas rechazan una reunión con Duque a puerta cerrada y tensan el diálogo,F. MANETTO,Bogotá,NA,NA,NA,NA,NA
10-04-2019,8,10-04-2019,3,Cultura Colectiva: el escándalo detrás de 540 millones de ‘me gusta’,Elías Camhaji,México,3,Hector Guerrero,Un joven utiliza twitter desde su celular.,NA,NA
10-04-2019,8,10-04-2019,1,El embajador de Guaidó ante la OEA consigue un puesto en el organismo,Antonia Laborde,Washington,17,EFE,Una reunión del Consejo Permanente de la OEA.,Destacados,
10-04-2019,8,09-04-2019,23,La ONU formará en derechos humanos a la Guardia Nacional de López Obrador,Elena Reina,México,15,CUARTOSCURO,Bachelet y López Obrador este martes.,Destacados,
10-04-2019,8,10-04-2019,0,Venezuela cae 18 puestos y ya es el cuarto país más pobre de Latinoamérica,NA,NA,NA,AP,Una protesta por la falta de agua este lunes.,Destacados,
10-04-2019,8,10-04-2019,3,Las Abuelas de Plaza de Mayo localizan en España a la nieta 129,Federico Rivas Molina,Buenos Aires,20,EFE,Solsona y De Carlotto en la rueda de prensa.,Destacados,
10-04-2019,8,10-04-2019,4,Magic Johnson dimite como presidente de los Lakers tras una temporada desastrosa,Pablo Ximénez de Sandoval,Los Ángeles,NA,AFP,Magic Johnson en el último All-Star en febrero.,Destacados,
10-04-2019,8,10-04-2019,4,Hallado muerto un estudiante español que desapareció en un río de Ecuador,Sara España,Guayaquil/ Cádiz,15,EFE,Amigos de Manuel Tundidor en Ecuador.,Destacados,
10-04-2019,8,10-04-2019,7,Facebook e Instagram vetan a varios representantes de la extrema derecha canadiense,Jaime Porras Ferreyra,Montreal,NA,AFP,Zuckerberg en una imagen de archivo.,Destacados,
10-04-2019,8,10-04-2019,3,Cómo Noruega ha reinventado su turismo gracias a las antiguas carreteras,V. Martínez,Noruega,9,Á. R. / V. M.,Un turista mira al horizonte un fiordo.,Destacados,
10-04-2019,8,09-04-2019,20,Nueva York obliga a vacunar contra el sarampión en los distritos judíos de Brooklyn bajo amenaza de multa,S. P.,Nueva York,21,AP,Vacunas en un centro sanitario en Nueva York.,Destacados,
10-04-2019,8,10-04-2019,4,Argentina y Colombia serán las sedes de la Copa América 2020,Federico Rivas Molina,Buenos Aires,NA,GETTY,Beausejour presenta el trofeo el pasado enero.,Destacados,
10-04-2019,8,10-04-2019,1,Caballos de Troya no,NA,NA,NA,NA,NA,opinión,opinión
